Epoch 1/50 | Train Acc: 93.43% | Val Acc: 97.16%
Epoch 2/50 | Train Acc: 96.80% | Val Acc: 97.61%
Epoch 3/50 | Train Acc: 97.49% | Val Acc: 96.24%
Epoch 4/50 | Train Acc: 97.94% | Val Acc: 97.00%
Epoch 5/50 | Train Acc: 98.08% | Val Acc: 97.31%
Epoch 6/50 | Train Acc: 98.30% | Val Acc: 97.41%
Epoch 7/50 | Train Acc: 98.53% | Val Acc: 97.97%
Epoch 8/50 | Train Acc: 98.63% | Val Acc: 97.46%
Epoch 9/50 | Train Acc: 98.78% | Val Acc: 97.41%
Epoch 10/50 | Train Acc: 98.95% | Val Acc: 97.61%
Epoch 11/50 | Train Acc: 98.97% | Val Acc: 98.02%
Epoch 12/50 | Train Acc: 98.88% | Val Acc: 97.92%
Epoch 13/50 | Train Acc: 99.20% | Val Acc: 97.71%
Epoch 14/50 | Train Acc: 99.20% | Val Acc: 97.97%
Epoch 15/50 | Train Acc: 99.16% | Val Acc: 97.71%
Epoch 16/50 | Train Acc: 99.25% | Val Acc: 97.87%
Epoch 17/50 | Train Acc: 99.15% | Val Acc: 97.87%
Epoch 18/50 | Train Acc: 99.26% | Val Acc: 97.71%
Epoch 19/50 | Train Acc: 99.16% | Val Acc: 97.92%
Epoch 20/50 | Train Acc: 99.35% | Val Acc: 98.12%
Epoch 21/50 | Train Acc: 99.52% | Val Acc: 97.87%
Epoch 22/50 | Train Acc: 99.28% | Val Acc: 97.82%
Epoch 23/50 | Train Acc: 99.47% | Val Acc: 97.61%
Epoch 24/50 | Train Acc: 99.44% | Val Acc: 97.97%
Epoch 25/50 | Train Acc: 99.71% | Val Acc: 97.51%
Epoch 26/50 | Train Acc: 99.38% | Val Acc: 97.31%
Epoch 27/50 | Train Acc: 99.40% | Val Acc: 97.51%
Epoch 28/50 | Train Acc: 99.58% | Val Acc: 97.41%
Epoch 29/50 | Train Acc: 99.53% | Val Acc: 97.87%
Epoch 30/50 | Train Acc: 99.57% | Val Acc: 97.92%
Epoch 31/50 | Train Acc: 99.64% | Val Acc: 97.87%
Epoch 32/50 | Train Acc: 99.63% | Val Acc: 97.56%
Epoch 33/50 | Train Acc: 99.71% | Val Acc: 98.07%
Epoch 34/50 | Train Acc: 99.61% | Val Acc: 98.02%
Epoch 35/50 | Train Acc: 99.58% | Val Acc: 97.92%
Epoch 36/50 | Train Acc: 99.78% | Val Acc: 97.87%
Epoch 37/50 | Train Acc: 99.78% | Val Acc: 98.32%
Epoch 38/50 | Train Acc: 99.68% | Val Acc: 97.71%
Epoch 29/50 | Train Acc: 99.53% | Val Acc: 97.87%
Epoch 30/50 | Train Acc: 99.57% | Val Acc: 97.92%
Epoch 31/50 | Train Acc: 99.64% | Val Acc: 97.87%
Epoch 32/50 | Train Acc: 99.63% | Val Acc: 97.56%
Epoch 33/50 | Train Acc: 99.71% | Val Acc: 98.07%
Epoch 34/50 | Train Acc: 99.61% | Val Acc: 98.02%
Epoch 35/50 | Train Acc: 99.58% | Val Acc: 97.92%
Epoch 36/50 | Train Acc: 99.78% | Val Acc: 97.87%
Epoch 37/50 | Train Acc: 99.78% | Val Acc: 98.32%
Epoch 38/50 | Train Acc: 99.68% | Val Acc: 97.71%
Epoch 30/50 | Train Acc: 99.57% | Val Acc: 97.92%
Epoch 31/50 | Train Acc: 99.64% | Val Acc: 97.87%
Epoch 32/50 | Train Acc: 99.63% | Val Acc: 97.56%
Epoch 33/50 | Train Acc: 99.71% | Val Acc: 98.07%
Epoch 34/50 | Train Acc: 99.61% | Val Acc: 98.02%
Epoch 35/50 | Train Acc: 99.58% | Val Acc: 97.92%
Epoch 36/50 | Train Acc: 99.78% | Val Acc: 97.87%
Epoch 37/50 | Train Acc: 99.78% | Val Acc: 98.32%
Epoch 38/50 | Train Acc: 99.68% | Val Acc: 97.71%
Epoch 31/50 | Train Acc: 99.64% | Val Acc: 97.87%
Epoch 32/50 | Train Acc: 99.63% | Val Acc: 97.56%
Epoch 33/50 | Train Acc: 99.71% | Val Acc: 98.07%
Epoch 34/50 | Train Acc: 99.61% | Val Acc: 98.02%
Epoch 35/50 | Train Acc: 99.58% | Val Acc: 97.92%
Epoch 36/50 | Train Acc: 99.78% | Val Acc: 97.87%
Epoch 37/50 | Train Acc: 99.78% | Val Acc: 98.32%
Epoch 38/50 | Train Acc: 99.68% | Val Acc: 97.71%
Epoch 32/50 | Train Acc: 99.63% | Val Acc: 97.56%
Epoch 33/50 | Train Acc: 99.71% | Val Acc: 98.07%
Epoch 34/50 | Train Acc: 99.61% | Val Acc: 98.02%
Epoch 35/50 | Train Acc: 99.58% | Val Acc: 97.92%
Epoch 36/50 | Train Acc: 99.78% | Val Acc: 97.87%
Epoch 37/50 | Train Acc: 99.78% | Val Acc: 98.32%
Epoch 38/50 | Train Acc: 99.68% | Val Acc: 97.71%
Epoch 34/50 | Train Acc: 99.61% | Val Acc: 98.02%
Epoch 35/50 | Train Acc: 99.58% | Val Acc: 97.92%
Epoch 36/50 | Train Acc: 99.78% | Val Acc: 97.87%
Epoch 37/50 | Train Acc: 99.78% | Val Acc: 98.32%
Epoch 38/50 | Train Acc: 99.68% | Val Acc: 97.71%
Epoch 36/50 | Train Acc: 99.78% | Val Acc: 97.87%
Epoch 37/50 | Train Acc: 99.78% | Val Acc: 98.32%
Epoch 38/50 | Train Acc: 99.68% | Val Acc: 97.71%
Epoch 37/50 | Train Acc: 99.78% | Val Acc: 98.32%
Epoch 38/50 | Train Acc: 99.68% | Val Acc: 97.71%
Epoch 38/50 | Train Acc: 99.68% | Val Acc: 97.71%
Epoch 39/50 | Train Acc: 99.71% | Val Acc: 98.02%
Epoch 39/50 | Train Acc: 99.71% | Val Acc: 98.02%
Epoch 40/50 | Train Acc: 99.83% | Val Acc: 98.12%
Epoch 41/50 | Train Acc: 99.68% | Val Acc: 97.97%
Epoch 42/50 | Train Acc: 99.73% | Val Acc: 97.87%
Epoch 43/50 | Train Acc: 99.61% | Val Acc: 97.82%
